file,folder,data_shape,times_shape,n_channels,n_samples,time_samples,times_match,time_start,time_end,sampling_rate,contains_nan,nan_count,std_first_channel,other_data_exists
259601C01.mat,259601,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,68.5198974609375,True
259601L01.mat,259601,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,49.80818557739258,True
259701A01.mat,259701,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,42.35264587402344,True
259701C01.mat,259701,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,38.08812713623047,True
259701L01.mat,259701,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,72.60928344726562,True
259801A01.mat,259801,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,39.743743896484375,True
259801C01.mat,259801,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,36.45376205444336,True
259801L01.mat,259801,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,81.5246810913086,True
259901A01.mat,259901,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,17.120346069335938,True
259901C01.mat,259901,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,21.690837860107422,True
259901L01.mat,259901,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,21.110658645629883,True
260201L01.mat,260201,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,60.980533599853516,True
260301A01.mat,260301,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,26.588855743408203,True
260301C01.mat,260301,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,20.723878860473633,True
260301L01.mat,260301,"(19, 8000)","(8000,)",19,8000,8000,True,-2000.0,1999.5,2000,False,0,187.47457885742188,True
260401A01.mat,260401,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,16.617895126342773,True
260401C01.mat,260401,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,28.458663940429688,True
260401L01.mat,260401,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,43.48248291015625,True
260501A01.mat,260501,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,19.907236099243164,True
260501C01.mat,260501,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,54.5707893371582,True
260501L01.mat,260501,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,42.0123405456543,True
260601A01.mat,260601,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,5.767611026763916,True
260601C01.mat,260601,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,19.99578857421875,True
260601L01.mat,260601,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,23.6860294342041,True
260701A01.mat,260701,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,14.52631664276123,True
260701C02.mat,260701,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,104.98117065429688,True
260701L01.mat,260701,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,27.678768157958984,True
260801A01.mat,260801,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,21.02457618713379,True
260801C01.mat,260801,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,26.3039493560791,True
260801L01.mat,260801,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,49.13157653808594,True
260901A01.mat,260901,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,45.194602966308594,True
260901C01.mat,260901,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,132.6054229736328,True
260901L01.mat,260901,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,50.178192138671875,True
261001A01.mat,261001,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,17.25066566467285,True
261001C01.mat,261001,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,25.3160343170166,True
261001L01.mat,261001,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,26.969268798828125,True
261101A01.mat,261101,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,45.66832733154297,True
261101C01.mat,261101,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,22.56394386291504,True
261101L01.mat,261101,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,21.875410079956055,True
261201A01.mat,261201,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,30.078580856323242,True
261201C01.mat,261201,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,27.287092208862305,True
261201L01.mat,261201,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,34.611507415771484,True
261301A01.mat,261301,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,46.18353271484375,True
261301C01.mat,261301,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,34.77843475341797,True
261301L01.mat,261301,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,39.12184524536133,True
261401A01.mat,261401,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,35.495113372802734,True
261401C01.mat,261401,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,18.034061431884766,True
261401L01.mat,261401,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,20.822622299194336,True
261501A01.mat,261501,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,23.996353149414062,True
261501C01.mat,261501,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,22.837900161743164,True
261501L01.mat,261501,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,31.92490005493164,True
261601A01.mat,261601,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,29.524402618408203,True
261601C01.mat,261601,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,62.71510696411133,True
261601L01.mat,261601,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,63.59693145751953,True
261701A01.mat,261701,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,15.692342758178711,True
261701C01.mat,261701,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,24.40118980407715,True
261701L01.mat,261701,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,24.564748764038086,True
261801A01.mat,261801,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,107.48841857910156,True
261801C01.mat,261801,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,47.73733901977539,True
261801L01.mat,261801,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,24.329750061035156,True
261901A01.mat,261901,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,23.03042221069336,True
261901C01.mat,261901,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,29.549697875976562,True
261901L01.mat,261901,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,41.586360931396484,True
