file,channels,labels
254901A01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
254901C01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
254901L01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
255001A01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
255001C01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
255001L01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
255101A01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
255101C01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
255101L01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
255201A01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
255201C01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
255201L01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
255301A01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
255301C01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
255301L01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
255401A01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
255401C01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
255401L01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
255501C01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
255501A01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
255501L01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
255601A01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
255601C01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
255601L01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
255701A01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
255701C01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
255701L01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
255801A01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
255801C01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
255801L01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
255901L01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
256001A01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
256001C01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
256001L01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
256101A01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
256101C01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
256101L01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
256201A01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
256201C01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
256201L01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
256301A01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
256301C01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
256301L01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
